Name	Fraktion	Geschlecht	Bundesland	Wahlkreis	Mandat	Biografie	Art	Stufe	Jahr	Beginn	Ende	Periodisch	Originaltext
Stephan Albani	CDU/CSU	m	Niedersachsen	Wahlkreis 027: Oldenburg - Ammerland	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/A/albani_stephan/258132	Funktionen in Unternehmen	1				monatlich	Hörzentrum Oldenburg GmbH, Oldenburg, Geschäftsführer, monatlich, Stufe 1
Stephan Albani	CDU/CSU	m	Niedersachsen	Wahlkreis 027: Oldenburg - Ammerland	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/A/albani_stephan/258132	Funktionen in Unternehmen	2				monatlich	Kompetenzzentrum HörTech gemeinnützige GmbH, Oldenburg, Geschäftsführer, monatlich, Stufe 2
Dorothee Bär	CDU/CSU	f	Bayern	Wahlkreis 248: Bad Kissingen	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/B/baer_dorothee/258192	Entgeltliche Tätigkeiten neben dem Mandat	2			2013-12-16T23:00:00.000Z	monatlich	Christlich-Soziale Union, München, Stellv. Generalsekretärin (bis 17.12.2013), monatlich, Stufe 2
Ulrike Bahr	SPD	f	Bayern	Wahlkreis 252: Augsburg-Stadt	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/B/bahr_ulrike/258242	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	1			2014-04-29T22:00:00.000Z	monatlich	Stadt Augsburg, Augsburg, Mitglied des Stadtrates (bis 30.04.2014), monatlich, Stufe 1
Helmut Brandt	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 088: Aachen II	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/B/brandt_helmut/258214	Entgeltliche Tätigkeiten neben dem Mandat	4	2013			einmalig	Rechtsanwälte Franz Brandt, Peter Capellmann & Peter Tomczak, Alsdorf, Rechtsanwalt, 2013, Stufe 4, Gewinn
Helmut Brandt	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 088: Aachen II	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/B/brandt_helmut/258214	Entgeltliche Tätigkeiten neben dem Mandat	6	2014			einmalig	Rechtsanwälte Franz Brandt, Peter Capellmann & Peter Tomczak, Alsdorf, 2014, Stufe 6, Gewinn
Helmut Brandt	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 088: Aachen II	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/B/brandt_helmut/258214	Entgeltliche Tätigkeiten neben dem Mandat	5	2015			einmalig	Rechtsanwälte Franz Brandt, Peter Capellmann & Peter Tomczak, Alsdorf, 2015, Stufe 5, Gewinn
Helmut Brandt	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 088: Aachen II	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/B/brandt_helmut/258214	Entgeltliche Tätigkeiten neben dem Mandat	4	2016			einmalig	Rechtsanwälte Franz Brandt, Peter Capellmann & Peter Tomczak, Alsdorf, 2016, Stufe 4
Bernhard Daldrup	SPD	m	Nordrhein-Westfalen	Wahlkreis 130: Warendorf	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/D/daldrup_bernhard/258262	Entgeltliche Tätigkeiten neben dem Mandat	2		2014-01-31T23:00:00.000Z		monatlich	Sozialdemokratische Gemeinschaft für Kommunalpolitik Nordrhein-Westfalen e.V., Düsseldorf, Landesgeschäftsführer, monatlich, Stufe 2 (ab 01.01.2014)
Dr. Diether Dehm	Die Linke	m	Niedersachsen	Wahlkreis 043: Hannover-Land I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/D/dehm_diether/258296	Entgeltliche Tätigkeiten neben dem Mandat	4				jährlich	Publizist, Autor und Liederschreiber, selbständig, Berlin, GEMA, Berlin, jährlich, Stufe 4
Alexander Dobrindt	CDU/CSU	m	Bayern	Wahlkreis 226: Weilheim	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/D/dobrindt_alexander/258284	Entgeltliche Tätigkeiten neben dem Mandat	3			2013-12-15T23:00:00.000Z	monatlich	Christlich-Soziale Union in Bayern e.V., München, Generalsekretär (bis 16.12.2013), monatlich, Stufe 3
Hermann Färber	CDU/CSU	m	Baden-Württemberg	Wahlkreis 263: Göppingen	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/F/faerber_hermann/258338	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Unternehmer, selbständig, Winterdienst und Photovoltaikanlage, Böhmenkirch, Albwerk GmbH & Co KG, Geislingen, monatlich, Stufe 1
Hermann Färber	CDU/CSU	m	Baden-Württemberg	Wahlkreis 263: Göppingen	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/F/faerber_hermann/258338	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Hermann Färber GbR, Böhmenkirch, Geschäftsführer, monatlich, Stufe 1
Christian Flisek	SPD	m	Bayern	Wahlkreis 229: Passau	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/F/flisek_christian/258360	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Flisek + Galla Rechtsanwaltsgesellschaft mbH, Passau, Rechtsanwalt, monatlich, Stufe 1
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	5	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 01, 2013, Stufe 5
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	10	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 10
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	10	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 02, 2013, Stufe 10
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	1	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, 2014, Stufe 1
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	2	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 03, 2013, Stufe 2
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	5	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 5
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	1	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 04, 2013, Stufe 1
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	9	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 9
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	4	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 05, 2013, Stufe 4
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	10	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,    2014, Stufe 10
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	6	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 06, 2013, Stufe 6
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	4	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 4
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	5	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 07, 2013, Stufe 5
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	2	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 2
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	5	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 08, 2013, Stufe 5
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	8	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 8
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	1	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 09, 2013, Stufe 1
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	9	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,    2014, Stufe 9
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	3	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 10, 2013, Stufe 3
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	5	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,    2014, Stufe 5
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	4	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 11, 2013, Stufe 4
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	7	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 7
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	1	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 12, 2013, Stufe 1
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	4	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 4
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	3	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 13, 2013, Stufe 3
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	4	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 4
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	6	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 14, 2013, Stufe 6
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	3	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 3
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	2	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 15, 2013, Stufe 2
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	4	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 4
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	2	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 16, 2013, Stufe 2
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	3	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 17, 2013, Stufe 3
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	3	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 3
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	2	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 18, 2013, Stufe 2
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	10	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 10
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	1	2013			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 19, 2013, Stufe 1
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	1	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München,   2014, Stufe 1
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	2	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 20, 2014, Stufe 2
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	3	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 21, 2014, Stufe 3
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	2	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 22, 2014, Stufe 2
Dr. Peter Gauweiler	CDU/CSU	m	Bayern	Wahlkreis 220: München-Süd	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gauweiler_peter/258396	Entgeltliche Tätigkeiten neben dem Mandat	1	2014			einmalig	Rechtsanwälte Bub, Gauweiler & Partner, München, Mandant 23, 2014, Stufe 1
Sigmar Gabriel	SPD	m	Niedersachsen	Wahlkreis 049: Salzgitter - Wolfenbüttel	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gabriel_sigmar/258398	Entgeltliche Tätigkeiten neben dem Mandat	3			2013-12-30T23:00:00.000Z	monatlich	Sozialdemokratische Partei Deutschlands, Berlin, Vorsitzender, monatlich, Stufe 3 (bis Ende 2013)
Sigmar Gabriel	SPD	m	Niedersachsen	Wahlkreis 049: Salzgitter - Wolfenbüttel	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gabriel_sigmar/258398	Entgeltliche Tätigkeiten neben dem Mandat	1	2014	2014-03-31T22:00:00.000Z		monatlich	Sozialdemokratische Partei Deutschlands, Berlin, monatlich, Stufe 1 (ab 01.03.2014 bis 31.12.2014)
Hermann Gröhe	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 108: Neuss I	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/groehe_hermann/258434	Entgeltliche Tätigkeiten neben dem Mandat	3			2013-12-16T23:00:00.000Z	monatlich	Christlich Demokratische Union Deutschlands, Berlin, Generalsekretär (bis 17.12.2013), monatlich, Stufe 3
Astrid Grotelüschen	CDU/CSU	f	Niedersachsen	Wahlkreis 028: Delmenhorst - Wesermarsch - Oldenburg-Land	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/grotelueschen_astrid/258422	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Grotelüschen Immobilien GmbH & Co KG, Ahlhorn, Geschäftsführerin, monatlich, Stufe 1
