Name	Fraktion	Geschlecht	Bundesland	Wahlkreis	Mandat	Biografie	Art	Stufe	Jahr	Beginn	Ende	Periodisch	Originaltext
Fritz Güntzler	CDU/CSU	m	Niedersachsen	Wahlkreis 053: Göttingen	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/guentzler_fritz/258392	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Prof. Dr. Ludewig und Partner GmbH, Kassel, Geschäftsführer, monatlich, Stufe 1
Fritz Güntzler	CDU/CSU	m	Niedersachsen	Wahlkreis 053: Göttingen	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/guentzler_fritz/258392	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Prof. Dr. Ludewig und Sozien, Kassel, Wirtschaftsprüfer/Steuerberater, monatlich, Stufe 1
Fritz Güntzler	CDU/CSU	m	Niedersachsen	Wahlkreis 053: Göttingen	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/guentzler_fritz/258392	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Quattek & Partner Steuerberatungsgesellschaft, Göttingen, Wirtschaftsprüfer/Steuerberater, monatlich, Stufe 1
Olav Gutting	CDU/CSU	m	Baden-Württemberg	Wahlkreis 278: Bruchsal - Schwetzingen	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gutting_olav/258380	Entgeltliche Tätigkeiten neben dem Mandat	3				einmalig	Gutting Steuerberater und Rechtsanwälte GbR, Oberhausen-Rheinhausen, Rechtsanwalt, 2012, Stufe 3, Gewinn (Nachtrag zur 17. Wahlperiode)
Olav Gutting	CDU/CSU	m	Baden-Württemberg	Wahlkreis 278: Bruchsal - Schwetzingen	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/G/gutting_olav/258380	Entgeltliche Tätigkeiten neben dem Mandat	8	2013			einmalig	Gutting Steuerberater und Rechtsanwälte GbR, Oberhausen-Rheinhausen, 2013, Stufe 8, Gewinn
Frank Heinrich	CDU/CSU	m	Sachsen	Wahlkreis 162: Chemnitz	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/heinrich_frank/258432	Entgeltliche Tätigkeiten neben dem Mandat	1	2014			einmalig	University of the Nations Kona, Kailua-Kona (USA), Vortragsreihe, 2014, Stufe 1 (Gesellschaftliches Engagement, Menschenhandel, Sexual Trafficking, Religionsfreiheit)
Rudolf Henke	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 087: Aachen I	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/henke_rudolf/258504	Entgeltliche Tätigkeiten neben dem Mandat	3				jährlich	St. Antonius-Hospital, Eschweiler, Arzt, jährlich, Stufe 3
Rudolf Henke	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 087: Aachen I	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/henke_rudolf/258504	Funktionen in Unternehmen	3				jährlich	Allianz Private Krankenversicherungs-AG, München, Stellv. Vorsitzender des Ärztebeirates, jährlich, Stufe 3
Rudolf Henke	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 087: Aachen I	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/henke_rudolf/258504	Funktionen in Unternehmen	3				jährlich	Deutsche Ärzteversicherung-AG, Köln,Mitglied des Aufsichtsrates, jährlich, Stufe 3, Mitglied des Beirates
Rudolf Henke	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 087: Aachen I	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/henke_rudolf/258504	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	3				monatlich	Ärztekammer Nordrhein, Düsseldorf, Präsident, monatlich, Stufe 3
Rudolf Henke	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 087: Aachen I	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/henke_rudolf/258504	Funktionen in Vereinen, Verbänden und Stiftungen	2				monatlich	Marburger Bund Bundesverband, Berlin, 1. Vorsitzender, monatlich, Stufe 2
Dr. Barbara Hendricks	SPD	f	Nordrhein-Westfalen	Wahlkreis 112: Kleve	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/hendricks_barbara/258464	Entgeltliche Tätigkeiten neben dem Mandat	3			2013-12-16T23:00:00.000Z	monatlich	Sozialdemokratische Partei Deutschlands, Berlin, Schatzmeisterin (bis 17.12.2013), monatlich, Stufe 3
Karl Holmeier	CDU/CSU	m	Bayern	Wahlkreis 234: Schwandorf	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/holmeier_karl/258454	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	2			2014-04-29T22:00:00.000Z	monatlich	Gemeinde Weiding, Weiding, 1. Bürgermeister, ehrenamtlich (bis 30.04.2014), monatlich, Stufe 2
Bettina Hornhues	CDU/CSU	f	Bremen	Wahlkreis 055: Bremen II - Bremerhaven	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/hornhues_bettina/259440	Entgeltliche Tätigkeiten neben dem Mandat	1			2013-11-14T23:00:00.000Z	monatlich	NordFinanz Bank AG, Bremen, Bankkauffrau (bis 15.11.2013), monatlich, Stufe 1
Bärbel Höhn	Bündnis 90/Die Grünen	f	Nordrhein-Westfalen	Wahlkreis 117: Oberhausen - Wesel III	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/H/hoehn_baerbel/258514	Funktionen in Vereinen, Verbänden und Stiftungen	3				jährlich	Deutsche Bundesstiftung Umwelt (DBU), Osnabrück, Mitglied des Kuratoriums, jährlich, Stufe 3
Reinhold Jost	SPD	m	Saarland	Wahlkreis 297: Saarlouis	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/J/jost_reinhold/258534	Entgeltliche Tätigkeiten neben dem Mandat	1			2013-12-31T23:00:00.000Z	monatlich	SPD-Landtagsfraktion, Saarbrücken, Parlamentarischer Geschäftsführer (bis Ende 2013), monatlich, Stufe 1
Reinhold Jost	SPD	m	Saarland	Wahlkreis 297: Saarlouis	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/J/jost_reinhold/258534	Entgeltliche Tätigkeiten neben dem Mandat	2			2013-12-31T23:00:00.000Z	monatlich	SPD-Saarland, Saarbrücken, Landesgeschäftsführer, monatlich, Stufe 2
Dr. Egon Jüttner	CDU/CSU	m	Baden-Württemberg	Wahlkreis 275: Mannheim	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/J/juettner_egon/258548	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	3				jährlich	Stadt Mannheim, Mannheim, Mitglied des Gemeinderates, jährlich, Stufe 3
Alois Karl	CDU/CSU	m	Bayern	Wahlkreis 232: Amberg	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/K/karl_alois/258604	Entgeltliche Tätigkeiten neben dem Mandat	3	2013			einmalig	Rechtsanwalt, selbständig, Neumarkt, Mandant 1, 2013, Stufe 3
Alois Karl	CDU/CSU	m	Bayern	Wahlkreis 232: Amberg	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/K/karl_alois/258604	Entgeltliche Tätigkeiten neben dem Mandat	3	2014			einmalig	Rechtsanwalt, selbständig, Neumarkt, Mandant 2, 2014, Stufe 3
Jürgen Klimke	CDU/CSU	m	Hamburg		liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/K/klimke_juergen/258652	Funktionen in Unternehmen	1				monatlich	Industrie-Contact AG, Hamburg, Vorsitzender des Vorstandes, monatlich, Stufe 1
Jan Korte	Die Linke	m	Sachsen-Anhalt	Wahlkreis 071: Anhalt	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/K/korte_jan/258602	Entgeltliche Tätigkeiten neben dem Mandat	1	2014			einmalig	Neues Deutschland Druckerei und Verlag GmbH, Berlin, Buchautor, 2014, Stufe 1
Anette Kramme	SPD	f	Bayern	Wahlkreis 237: Bayreuth	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/K/kramme_anette/258582	Entgeltliche Tätigkeiten neben dem Mandat	3			2013-12-30T23:00:00.000Z	einmalig	Kramme, Günther & Kollegen, Bayreuth, Rechtsanwältin (bis Ende 2013), 2012, Stufe 3, Gewinn (Nachtrag zur
Dr. Roy Kühne	CDU/CSU	m	Niedersachsen	Wahlkreis 052: Goslar - Northeim - Osterode	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/K/kuehne_roy/259432	Entgeltliche Tätigkeiten neben dem Mandat	2		2014-03-31T22:00:00.000Z		monatlich	Dr. Roy Kühne-Verwaltungs GmbH, Northeim, Geschäftsführer, monatlich, Stufe 2 (ab 01.03.2014)
Dr. Karl Lauterbach	SPD	m	Nordrhein-Westfalen	Wahlkreis 101: Leverkusen - Köln IV	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/lauterbach_karl/258708	Entgeltliche Tätigkeiten neben dem Mandat	1	2013			einmalig	Harvard Universität, Cambridge, Massachusetts, USA, Wissenschaftliche Beratung, 2013, Stufe 1 (Nachtrag zur 17. Wahlperiode)
Dr. Karl Lauterbach	SPD	m	Nordrhein-Westfalen	Wahlkreis 101: Leverkusen - Köln IV	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/lauterbach_karl/258708	Entgeltliche Tätigkeiten neben dem Mandat	1	2015			einmalig	Harvard Universität, Cambridge, Massachusetts, USA, 2015, Stufe 1
Dr. Karl Lauterbach	SPD	m	Nordrhein-Westfalen	Wahlkreis 101: Leverkusen - Köln IV	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/lauterbach_karl/258708	Funktionen in Unternehmen	3	2014		2013-06-29T22:00:00.000Z	einmalig	Rhön-Klinikum AG, Bad Neustadt/Saale, Mitglied des Aufsichtsrates (bis Juni 2013), 2014, Stufe 3 (Nachzahlung für 2013)
Steffen-Claudio Lemme	SPD	m	Thüringen	Wahlkreis 191: Kyffhäuserkreis - Sömmerda - Weimarer Land I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/lemme_steffen/258696	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Deutscher Gewerkschaftsbund, Berlin, Gewerkschaftssekretär, monatlich, Stufe 1
Dr. Jan-Marco Luczak	CDU/CSU	m	Berlin	Wahlkreis 081: Berlin-Tempelhof - Schöneberg	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/luczak_jan_marco/258702	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Rechtsanwälte Hengeler Mueller, Berlin, Rechtsanwalt, monatlich, Stufe 1
Kirsten Lühmann	SPD	f	Niedersachsen	Wahlkreis 044: Celle - Uelzen	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/luehmann_kirsten/258706	Funktionen in Unternehmen	4				jährlich	BTA Betriebs- und Anlagegesellschaft mbH, Berlin, Mitglied des Aufsichtsrates, jährlich, Stufe 4
Kirsten Lühmann	SPD	f	Niedersachsen	Wahlkreis 044: Celle - Uelzen	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/luehmann_kirsten/258706	Funktionen in Unternehmen	3	2015			einmalig	Deutsche Bahn AG, Berlin, Mitglied des Aufsichtsrates, 2015, Stufe 3
Kirsten Lühmann	SPD	f	Niedersachsen	Wahlkreis 044: Celle - Uelzen	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/luehmann_kirsten/258706	Funktionen in Unternehmen	3				jährlich	Nürnberger Beamten Lebensversicherung AG, Nürnberg, Mitglied des Aufsichtsrates, jährlich, Stufe 3
Kirsten Lühmann	SPD	f	Niedersachsen	Wahlkreis 044: Celle - Uelzen	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/L/luehmann_kirsten/258706	Funktionen in Vereinen, Verbänden und Stiftungen	1				monatlich	dbb - Deutscher Beamtenbund und Tarifunion, Berlin, Stellv. Bundesvorsitzende, monatlich, Stufe 1
Thomas Mahlberg	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 115: Duisburg I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mahlberg_thomas/259338	Entgeltliche Tätigkeiten neben dem Mandat	3			2013-11-29T23:00:00.000Z	monatlich	YARA GmbH & Co. KG, Dülmen, Verkaufsleiter, Kaufm. Angestellter (bis 30.11.2013), monatlich, Stufe 3
Thomas Mahlberg	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 115: Duisburg I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mahlberg_thomas/259338	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	4	2013		2014-12-30T23:00:00.000Z	einmalig	Sparkasse Duisburg, Duisburg, Mitglied des Verwaltungsrates (bis 31.12.2014), 2013, Stufe 4
Thomas Mahlberg	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 115: Duisburg I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mahlberg_thomas/259338	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	1				monatlich	Westdeutscher Rundfunk, Köln, Mitglied des Rundfunkrates, monatlich, Stufe 1
Matern von Marschall	CDU/CSU	m	Baden-Württemberg	Wahlkreis 281: Freiburg	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/marschallvon_matern/259146	Entgeltliche Tätigkeiten neben dem Mandat	4	2013			einmalig	AUDIOBUCH Verlag oHG, Freiburg, Geschäftsführender Gesellschafter, 2013, Stufe 4, Gewinn
Matern von Marschall	CDU/CSU	m	Baden-Württemberg	Wahlkreis 281: Freiburg	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/marschallvon_matern/259146	Entgeltliche Tätigkeiten neben dem Mandat	1		2014-01-31T23:00:00.000Z		monatlich	AUDIOBUCH Verlag oHG, Freiburg, ab 2014 monatlich, Stufe 1, Gewinn
Andreas Mattfeldt	CDU/CSU	m	Niedersachsen	Wahlkreis 034: Osterholz - Verden	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mattfeldt_andreas/258750	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Quint Nord Vertriebs- und Beratungs GmbH, Langwedel, Geschäftsführer, monatlich, Stufe 1
Dr. Michael Meister	CDU/CSU	m	Hessen	Wahlkreis 188: Bergstraße	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/meister_michael/258786	Entgeltliche Tätigkeiten neben dem Mandat	1	2013			einmalig	Eckardt-Steuerkreis, München, Vortrag, 2013, Stufe 1 (Sitzung des Arbeitskreises Steuerpolitik)
Stephan Mayer	CDU/CSU	m	Bayern	Wahlkreis 213: Altötting	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mayer_stephan/258778	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Nachmann Rechtsanwalts GmbH, München, Rechtsanwalt, monatlich, Stufe 1
Peter Meiwald	Bündnis 90/Die Grünen	m	Niedersachsen	Wahlkreis 027: Oldenburg - Ammerland	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/meiwald_peter/258784	Funktionen in Unternehmen	4				jährlich	EWE AG, Oldenburg, Mitglied des Aufsichtsrates, jährlich, Stufe 4
Klaus Mindrup	SPD	m	Berlin	Wahlkreis 076: Berlin-Pankow	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mindrup_klaus/259346	Entgeltliche Tätigkeiten neben dem Mandat	3	2014		2015-12-30T23:00:00.000Z	einmalig	Freiberuflicher Diplom-Biologe, Berlin (bis 31.12.2015) Beratung, GMZ Planungsgesellschaft Matthias Zinnen mbH, Berlin, 2014, Stufe 3
Philipp Mißfelder	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 121: Recklinghausen I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/missfelder_philipp/258790	Entgeltliche Tätigkeiten neben dem Mandat	8			2015-07-12T22:00:00.000Z	jährlich	teNeues Verlag GmbH & Co. KG, Kempen, Beratungstätigkeit, jährlich, Stufe 8 (bis 31.12.2014)
Philipp Mißfelder	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 121: Recklinghausen I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/missfelder_philipp/258790	Funktionen in Unternehmen	5		2015-05-31T22:00:00.000Z	2015-07-12T22:00:00.000Z	jährlich	Bonner Akademie für Forschung und Lehre praktischer Politik (BAPP) GmbH, Bonn, Mitglied des Beirates, jährlich, Stufe 5 (ab 01.05.2015)
Philipp Mißfelder	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 121: Recklinghausen I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/missfelder_philipp/258790	Funktionen in Unternehmen	6		2015-05-31T22:00:00.000Z	2015-07-12T22:00:00.000Z	jährlich	Bonner Akademie für Forschung und Lehre praktischer Politik (BAPP) GmbH, Bonn, Mitglied des Beirates, jährlich, Stufe 6 (ab 01.05.2015)
Bettina Müller	SPD	f	Hessen	Wahlkreis 175: Main-Kinzig – Wetterau II – Schotten	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mueller_bettina/259412	Entgeltliche Tätigkeiten neben dem Mandat	1	2013			einmalig	Amtsgericht Gelnhausen, Gelnhausen, Betreuerin, 2013, Stufe 1
Bettina Müller	SPD	f	Hessen	Wahlkreis 175: Main-Kinzig – Wetterau II – Schotten	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mueller_bettina/259412	Entgeltliche Tätigkeiten neben dem Mandat	3	2014			einmalig	Amtsgericht Gelnhausen, Gelnhausen, 2014, Stufe 3
Dr. Philipp Murmann	CDU/CSU	m	Schleswig-Holstein	Wahlkreis 006: Plön - Neumünster	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/murmann_philipp/258792	Entgeltliche Tätigkeiten neben dem Mandat	2			2015-06-29T22:00:00.000Z	monatlich	Zöllner Holding GmbH, Kiel, Geschäftsführer, monatlich, Stufe 2 (bis Juni 2015)
Dr. Philipp Murmann	CDU/CSU	m	Schleswig-Holstein	Wahlkreis 006: Plön - Neumünster	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/murmann_philipp/258792	Entgeltliche Tätigkeiten neben dem Mandat	3	2015			monatlich	Zöllner Holding GmbH, Kiel, monatlich, Stufe 3 (ab Juli 2015)
Andrea Nahles	SPD	f	Rheinland-Pfalz	Wahlkreis 199: Ahrweiler	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nahles_andrea/258818	Entgeltliche Tätigkeiten neben dem Mandat	3			2013-12-15T23:00:00.000Z	monatlich	Sozialdemokratische Partei Deutschlands, Berlin, Generalsekretärin (bis 16.12.2013), monatlich, Stufe 3
Omid Nouripour	Bündnis 90/Die Grünen	m	Hessen	Wahlkreis 183: Frankfurt am Main II	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nouripour_omid/258804	Entgeltliche Tätigkeiten neben dem Mandat	2	2014			einmalig	Publizistische Tätigkeit, Deutscher Taschenbuchverlag GmbH & Co. KG, München, 2014, Stufe 2
Omid Nouripour	Bündnis 90/Die Grünen	m	Hessen	Wahlkreis 183: Frankfurt am Main II	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nouripour_omid/258804	Entgeltliche Tätigkeiten neben dem Mandat	2	2016			einmalig	Publizistische Tätigkeit, Graf & Graf Literatur- und Medienagentur GmbH, Berlin, 2016, Stufe 2
Dietmar Nietan	SPD	m	Nordrhein-Westfalen	Wahlkreis 090: Düren	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nietan_dietmar/258808	Entgeltliche Tätigkeiten neben dem Mandat	3				monatlich	Sozialdemokratische Partei Deutschlands, Berlin, Schatzmeister, monatlich, Stufe 3
Dr. iur. Georg Nüßlein	CDU/CSU	m	Bayern	Wahlkreis 255: Neu-Ulm	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nuesslein_georg/258802	Entgeltliche Tätigkeiten neben dem Mandat	2				monatlich	Betrieb eines Klein- Wasserkraftwerks, Münsterhausen, Elektrizitätswerk Gemeinde Burtenbach, (als Abnehmer nach § 4 EEG),monatlich, Stufe 2
